id,id,kendalls_tau,spearman,zero_one_accuracy,object_detector,feature_transformer,object_ranker
112,493,0.52028066,0.5759209,0.33882785,faster-rcnn,"handcrafted,label",torch-fate-ranker
112,492,0.5417971,0.60236216,0.34832874,faster-rcnn,"handcrafted,label",torch-fate-ranker
112,491,0.5096786,0.56390744,0.3331044,faster-rcnn,"handcrafted,label",torch-fate-ranker
112,490,0.54264027,0.5969058,0.3572573,faster-rcnn,"handcrafted,label",torch-fate-ranker
112,489,0.5563657,0.6127394,0.37007785,faster-rcnn,"handcrafted,label",torch-fate-ranker
111,1407,0.7074965,0.7644676,0.4416781,faster-rcnn,"spatial-mask,label",torch-fate-ranker
111,1406,0.70707375,0.7639907,0.4528388,faster-rcnn,"spatial-mask,label",torch-fate-ranker
111,1222,0.65899,0.7187237,0.40894,faster-rcnn,"spatial-mask,label",torch-fate-ranker
111,1182,0.7144881,0.7700722,0.45655903,faster-rcnn,"spatial-mask,label",torch-fate-ranker
111,1181,0.6885661,0.7502382,0.4266255,faster-rcnn,"spatial-mask,label",torch-fate-ranker
110,1405,0.14708233,0.17152996,0.19677198,faster-rcnn,"raw,label",torch-fate-ranker
110,1403,0.22854052,0.26395667,0.21073718,faster-rcnn,"raw,label",torch-fate-ranker
110,1221,0.14901693,0.17358625,0.19213599,faster-rcnn,"raw,label",torch-fate-ranker
110,1220,0.22672507,0.26424995,0.20999314,faster-rcnn,"raw,label",torch-fate-ranker
110,1177,0.21955305,0.25040102,0.23861036,faster-rcnn,"raw,label",torch-fate-ranker
109,1402,0.66899973,0.725042,0.43143314,faster-rcnn,"resnet,label",torch-fate-ranker
109,1401,0.65619844,0.71461725,0.41735348,faster-rcnn,"resnet,label",torch-fate-ranker
109,1077,0.64620566,0.70916104,0.39703524,faster-rcnn,"resnet,label",torch-fate-ranker
109,1076,0.6329818,0.6935334,0.40562043,faster-rcnn,"resnet,label",torch-fate-ranker
109,1044,0.6601465,0.71763635,0.43017402,faster-rcnn,"resnet,label",torch-fate-ranker
108,1400,0.616921,0.6792685,0.37809065,faster-rcnn,"alexnet,label",torch-fate-ranker
108,1399,0.61269665,0.67583114,0.35948947,faster-rcnn,"alexnet,label",torch-fate-ranker
108,1075,0.6114942,0.6768373,0.363038,faster-rcnn,"alexnet,label",torch-fate-ranker
108,1074,0.6009162,0.65863067,0.38553116,faster-rcnn,"alexnet,label",torch-fate-ranker
108,1043,0.5988671,0.6570827,0.3818109,faster-rcnn,"alexnet,label",torch-fate-ranker
107,1597,0.4518165,0.51261985,0.30145374,faster-rcnn,"autoencoder,label",torch-fate-ranker
107,1596,0.3996471,0.45678008,0.2847413,faster-rcnn,"autoencoder,label",torch-fate-ranker
107,1073,0.34892702,0.400785,0.2521749,faster-rcnn,"autoencoder,label",torch-fate-ranker
107,1072,0.33930972,0.38874808,0.2577839,faster-rcnn,"autoencoder,label",torch-fate-ranker
107,1071,0.3200398,0.36837867,0.24290293,faster-rcnn,"autoencoder,label",torch-fate-ranker
106,462,0.56867605,0.6269903,0.3585737,faster-rcnn,handcrafted,torch-fate-ranker
106,461,0.56192166,0.61710954,0.35576922,faster-rcnn,handcrafted,torch-fate-ranker
106,460,0.5772863,0.63423777,0.3648695,faster-rcnn,handcrafted,torch-fate-ranker
106,459,0.5674495,0.62513924,0.35187727,faster-rcnn,handcrafted,torch-fate-ranker
106,458,0.57575226,0.6277214,0.38982373,faster-rcnn,handcrafted,torch-fate-ranker
105,1396,0.6951261,0.7586389,0.40859663,faster-rcnn,spatial-mask,torch-fate-ranker
105,1395,0.6799775,0.7438416,0.4005838,faster-rcnn,spatial-mask,torch-fate-ranker
105,1176,0.66492665,0.72761714,0.4063645,faster-rcnn,spatial-mask,torch-fate-ranker
105,1175,0.7163394,0.7691827,0.47739238,faster-rcnn,spatial-mask,torch-fate-ranker
105,1174,0.6876533,0.7508521,0.39966807,faster-rcnn,spatial-mask,torch-fate-ranker
104,1394,0.21347573,0.25254738,0.19826008,faster-rcnn,raw,torch-fate-ranker
104,1393,0.23633158,0.27071178,0.21668956,faster-rcnn,raw,torch-fate-ranker
104,1173,0.25824833,0.30289176,0.2189217,faster-rcnn,raw,torch-fate-ranker
104,1172,0.24023454,0.2832302,0.21296933,faster-rcnn,raw,torch-fate-ranker
104,1171,0.18309322,0.21319403,0.22132556,faster-rcnn,raw,torch-fate-ranker
103,1595,0.6427483,0.7037028,0.39297163,faster-rcnn,resnet,torch-fate-ranker
103,1594,0.6075613,0.6673276,0.38272667,faster-rcnn,resnet,torch-fate-ranker
103,1060,0.6435395,0.7068842,0.39983976,faster-rcnn,resnet,torch-fate-ranker
103,1059,0.6176003,0.68210226,0.3635531,faster-rcnn,resnet,torch-fate-ranker
103,1038,0.6481744,0.712744,0.40710855,faster-rcnn,resnet,torch-fate-ranker
102,1593,0.5934345,0.6544906,0.3617216,faster-rcnn,alexnet,torch-fate-ranker
102,1592,0.6538575,0.7130297,0.38553116,faster-rcnn,alexnet,torch-fate-ranker
102,1058,0.62465274,0.685856,0.3768315,faster-rcnn,alexnet,torch-fate-ranker
102,1057,0.6174226,0.67488503,0.37551513,faster-rcnn,alexnet,torch-fate-ranker
102,1037,0.5883577,0.6491997,0.34815705,faster-rcnn,alexnet,torch-fate-ranker
101,1387,0.5332794,0.59622306,0.34386447,faster-rcnn,autoencoder,torch-fate-ranker
101,1386,0.18322074,0.22181728,0.19826008,faster-rcnn,autoencoder,torch-fate-ranker
101,1056,0.40819967,0.46883845,0.26968867,faster-rcnn,autoencoder,torch-fate-ranker
101,1055,0.38253698,0.436955,0.27730083,faster-rcnn,autoencoder,torch-fate-ranker
101,1052,0.37309748,0.43114382,0.27564102,faster-rcnn,autoencoder,torch-fate-ranker
