id,id,kendalls_tau,spearman,zero_one_accuracy,object_detector,feature_transformer,feature_transformer_params,object_ranker
330,1730,0.54447603,0.6099447,0.32640797,faster-rcnn,alexnet,reduced_size=128,rank-svm-ranker
330,1729,0.6279618,0.6923263,0.39297163,faster-rcnn,alexnet,reduced_size=128,rank-svm-ranker
330,1170,0.5243724,0.59068936,0.32211536,faster-rcnn,alexnet,reduced_size=128,rank-svm-ranker
330,1169,0.541418,0.60811245,0.32137132,faster-rcnn,alexnet,reduced_size=128,rank-svm-ranker
330,1168,0.59101033,0.6550191,0.37122253,faster-rcnn,alexnet,reduced_size=128,rank-svm-ranker
329,1728,0.09319493,0.099054426,0.20346841,faster-rcnn,autoencoder,"n_latent_features=4096,reduced_size=128",rank-svm-ranker
329,1727,0.091675304,0.10479391,0.18114698,faster-rcnn,autoencoder,"n_latent_features=4096,reduced_size=128",rank-svm-ranker
329,1167,0.080599934,0.09532211,0.17164606,faster-rcnn,autoencoder,"n_latent_features=4096,reduced_size=128",rank-svm-ranker
329,1166,0.10327226,0.1291519,0.1750229,faster-rcnn,autoencoder,"n_latent_features=4096,reduced_size=128",rank-svm-ranker
329,1165,-0.0385829,-0.051418133,0.15195742,faster-rcnn,autoencoder,"n_latent_features=4096,reduced_size=128",rank-svm-ranker
328,1726,0.5930491,0.6592157,0.35874543,faster-rcnn,alexnet,reduced_size=128,rank-net-ranker
328,1725,0.5841145,0.6456364,0.3600618,faster-rcnn,alexnet,reduced_size=128,rank-net-ranker
328,1164,0.5647476,0.6251404,0.336424,faster-rcnn,alexnet,reduced_size=128,rank-net-ranker
328,1163,0.59273523,0.6568696,0.3600618,faster-rcnn,alexnet,reduced_size=128,rank-net-ranker
328,1162,0.5911075,0.65463454,0.34666896,faster-rcnn,alexnet,reduced_size=128,rank-net-ranker
327,1684,0.44621006,0.5090712,0.29103708,faster-rcnn,autoencoder,"n_latent_features=4096,reduced_size=128",rank-net-ranker
327,1683,0.45748147,0.5180009,0.311527,faster-rcnn,autoencoder,"n_latent_features=4096,reduced_size=128",rank-net-ranker
327,1161,0.4695061,0.52836406,0.31335852,faster-rcnn,autoencoder,"n_latent_features=4096,reduced_size=128",rank-net-ranker
327,1160,0.5051443,0.56827366,0.32326007,faster-rcnn,autoencoder,"n_latent_features=4096,reduced_size=128",rank-net-ranker
327,1159,0.5071562,0.5661597,0.33716804,faster-rcnn,autoencoder,"n_latent_features=4096,reduced_size=128",rank-net-ranker
326,1724,0.53589004,0.6010883,0.30763507,faster-rcnn,alexnet,reduced_size=128,cmp-net-ranker
326,1723,0.57108283,0.631569,0.3472413,faster-rcnn,alexnet,reduced_size=128,cmp-net-ranker
326,1158,0.59795797,0.66063213,0.36469778,faster-rcnn,alexnet,reduced_size=128,cmp-net-ranker
326,1157,0.6309974,0.6935918,0.3816392,faster-rcnn,alexnet,reduced_size=128,cmp-net-ranker
326,1156,0.59303766,0.65378124,0.35336536,faster-rcnn,alexnet,reduced_size=128,cmp-net-ranker
325,1680,0.44847375,0.4949211,0.34146062,faster-rcnn,autoencoder,"n_latent_features=4096,reduced_size=128",cmp-net-ranker
325,1679,0.4476958,0.51426274,0.2926969,faster-rcnn,autoencoder,"n_latent_features=4096,reduced_size=128",cmp-net-ranker
325,1155,0.44615588,0.5094935,0.2921818,faster-rcnn,autoencoder,"n_latent_features=4096,reduced_size=128",cmp-net-ranker
325,1154,0.527778,0.593879,0.33253205,faster-rcnn,autoencoder,"n_latent_features=4096,reduced_size=128",cmp-net-ranker
325,1153,0.4618099,0.53008556,0.29384157,faster-rcnn,autoencoder,"n_latent_features=4096,reduced_size=128",cmp-net-ranker
324,1678,0.5962549,0.6611498,0.35926053,faster-rcnn,alexnet,reduced_size=128,torch-feta-ranker
324,1677,0.5957834,0.6532868,0.37826237,faster-rcnn,alexnet,reduced_size=128,torch-feta-ranker
324,1152,0.6324493,0.6951314,0.36790293,faster-rcnn,alexnet,reduced_size=128,torch-feta-ranker
324,1151,0.64607483,0.70669514,0.39239928,faster-rcnn,alexnet,reduced_size=128,torch-feta-ranker
324,1150,0.5973292,0.65672463,0.37345466,faster-rcnn,alexnet,reduced_size=128,torch-feta-ranker
323,1676,0.4233091,0.47561195,0.29773352,faster-rcnn,autoencoder,"n_latent_features=4096,reduced_size=128",torch-feta-ranker
323,1675,0.44190842,0.49925685,0.29945055,faster-rcnn,autoencoder,"n_latent_features=4096,reduced_size=128",torch-feta-ranker
323,1149,0.25503787,0.2990074,0.24124314,faster-rcnn,autoencoder,"n_latent_features=4096,reduced_size=128",torch-feta-ranker
323,1148,0.41904646,0.47041076,0.30408654,faster-rcnn,autoencoder,"n_latent_features=4096,reduced_size=128",torch-feta-ranker
323,1147,0.3716492,0.42414144,0.27134845,faster-rcnn,autoencoder,"n_latent_features=4096,reduced_size=128",torch-feta-ranker
322,1674,0.6029717,0.66082263,0.36973444,faster-rcnn,alexnet,reduced_size=128,torch-fate-ranker
322,1673,0.56792134,0.6255632,0.34535256,faster-rcnn,alexnet,reduced_size=128,torch-fate-ranker
322,1146,0.6077191,0.6669442,0.38833565,faster-rcnn,alexnet,reduced_size=128,torch-fate-ranker
322,1145,0.599402,0.6610805,0.34535256,faster-rcnn,alexnet,reduced_size=128,torch-fate-ranker
322,1144,0.6218554,0.68246084,0.37196657,faster-rcnn,alexnet,reduced_size=128,torch-fate-ranker
321,1672,0.30640605,0.35794502,0.23082647,faster-rcnn,autoencoder,"n_latent_features=4096,reduced_size=128",torch-fate-ranker
321,1670,0.3791932,0.43535534,0.26035944,faster-rcnn,autoencoder,"n_latent_features=4096,reduced_size=128",torch-fate-ranker
321,1143,0.33526587,0.3935124,0.2376946,faster-rcnn,autoencoder,"n_latent_features=4096,reduced_size=128",torch-fate-ranker
321,1142,0.38162637,0.4399668,0.25812727,faster-rcnn,autoencoder,"n_latent_features=4096,reduced_size=128",torch-fate-ranker
321,1141,0.37401503,0.4251218,0.27134845,faster-rcnn,autoencoder,"n_latent_features=4096,reduced_size=128",torch-fate-ranker
320,1669,0.5705506,0.6266938,0.35651326,faster-rcnn,handcrafted,,rank-svm-ranker
320,1668,0.5761383,0.62992597,0.38123858,faster-rcnn,handcrafted,,rank-svm-ranker
320,935,0.56357145,0.6200623,0.35130495,faster-rcnn,handcrafted,,rank-svm-ranker
320,934,0.57334393,0.6246332,0.3847871,faster-rcnn,handcrafted,,rank-svm-ranker
320,933,0.5642728,0.62085027,0.35279304,faster-rcnn,handcrafted,,rank-svm-ranker
319,1722,0.5753747,0.63647765,0.3600618,faster-rcnn,spatial-mask,mask_size=64,rank-svm-ranker
319,1721,0.56913674,0.63645494,0.34666896,faster-rcnn,spatial-mask,mask_size=64,rank-svm-ranker
319,1215,0.5466944,0.60972404,0.3336195,faster-rcnn,spatial-mask,mask_size=64,rank-svm-ranker
319,1214,0.5733429,0.63853824,0.34014422,faster-rcnn,spatial-mask,mask_size=64,rank-svm-ranker
319,1213,0.5836727,0.6491277,0.34495193,faster-rcnn,spatial-mask,mask_size=64,rank-svm-ranker
318,1665,0.60896796,0.676935,0.35966116,faster-rcnn,resnet,reduced_size=128,rank-svm-ranker
318,1664,0.65719366,0.7183927,0.4020719,faster-rcnn,resnet,reduced_size=128,rank-svm-ranker
318,1137,0.6246343,0.6821032,0.40819594,faster-rcnn,resnet,reduced_size=128,rank-svm-ranker
318,1136,0.64339453,0.70766956,0.39016715,faster-rcnn,resnet,reduced_size=128,rank-svm-ranker
318,1135,0.64862597,0.71094394,0.41563642,faster-rcnn,resnet,reduced_size=128,rank-svm-ranker
317,1779,0.11361688,0.13578513,0.19602793,faster-rcnn,raw,reduced_size=64,rank-svm-ranker
317,1738,0.091863215,0.09668794,0.18543956,faster-rcnn,raw,reduced_size=64,rank-svm-ranker
317,1719,0.07882027,0.09199792,0.18320742,faster-rcnn,raw,reduced_size=64,rank-svm-ranker
317,1363,0.099255376,0.1198064,0.17891483,faster-rcnn,raw,reduced_size=64,rank-svm-ranker
317,1210,0.07580603,0.0917327,0.18246338,faster-rcnn,raw,reduced_size=64,rank-svm-ranker
316,1661,0.56063455,0.6168244,0.35336536,faster-rcnn,handcrafted,,rank-net-ranker
316,1660,0.57099813,0.62635297,0.3847871,faster-rcnn,handcrafted,,rank-net-ranker
316,925,0.5428286,0.59556055,0.36097756,faster-rcnn,handcrafted,,rank-net-ranker
316,924,0.56129503,0.6169365,0.37122253,faster-rcnn,handcrafted,,rank-net-ranker
316,890,0.5517326,0.60900545,0.342777,faster-rcnn,handcrafted,,rank-net-ranker
315,1659,0.67148,0.7324935,0.40859663,faster-rcnn,spatial-mask,mask_size=64,rank-net-ranker
315,1658,0.7109476,0.76967365,0.4456273,faster-rcnn,spatial-mask,mask_size=64,rank-net-ranker
315,1209,0.66530067,0.7290055,0.39852333,faster-rcnn,spatial-mask,mask_size=64,rank-net-ranker
315,1208,0.6587083,0.7177615,0.41065708,faster-rcnn,spatial-mask,mask_size=64,rank-net-ranker
315,1207,0.64517206,0.70733,0.38255495,faster-rcnn,spatial-mask,mask_size=64,rank-net-ranker
314,1657,0.63763565,0.70088273,0.3907395,faster-rcnn,resnet,reduced_size=128,rank-net-ranker
314,1656,0.6321831,0.69398427,0.3894231,faster-rcnn,resnet,reduced_size=128,rank-net-ranker
314,1128,0.665039,0.7256013,0.42399266,faster-rcnn,resnet,reduced_size=128,rank-net-ranker
314,1127,0.6442572,0.7058329,0.39463145,faster-rcnn,resnet,reduced_size=128,rank-net-ranker
314,1126,0.6420506,0.70399374,0.3990957,faster-rcnn,resnet,reduced_size=128,rank-net-ranker
313,1718,0.2365225,0.27027777,0.22785027,faster-rcnn,raw,reduced_size=64,rank-net-ranker
313,1717,0.16677938,0.19141492,0.19139194,faster-rcnn,raw,reduced_size=64,rank-net-ranker
313,1206,0.19044335,0.22281568,0.20364012,faster-rcnn,raw,reduced_size=64,rank-net-ranker
313,1205,0.15240616,0.18132336,0.19511218,faster-rcnn,raw,reduced_size=64,rank-net-ranker
313,1204,0.22011434,0.25723055,0.23099817,faster-rcnn,raw,reduced_size=64,rank-net-ranker
312,1653,0.5626834,0.61997,0.34666896,faster-rcnn,handcrafted,,cmp-net-ranker
312,1652,0.5492814,0.6069915,0.35336536,faster-rcnn,handcrafted,,cmp-net-ranker
312,917,0.562201,0.61430997,0.3756868,faster-rcnn,handcrafted,,cmp-net-ranker
312,916,0.569727,0.6256696,0.363038,faster-rcnn,handcrafted,,cmp-net-ranker
312,886,0.55495507,0.6109597,0.34352106,faster-rcnn,handcrafted,,cmp-net-ranker
311,1651,0.6901888,0.7509618,0.41735348,faster-rcnn,spatial-mask,mask_size=64,cmp-net-ranker
311,1650,0.6890097,0.7465726,0.42273355,faster-rcnn,spatial-mask,mask_size=64,cmp-net-ranker
311,1203,0.69120866,0.74860615,0.42273355,faster-rcnn,spatial-mask,mask_size=64,cmp-net-ranker
311,1202,0.7042927,0.76006836,0.44505495,faster-rcnn,spatial-mask,mask_size=64,cmp-net-ranker
311,1201,0.68622196,0.74199015,0.43143314,faster-rcnn,spatial-mask,mask_size=64,cmp-net-ranker
310,1649,0.6194142,0.6846347,0.367674,faster-rcnn,resnet,reduced_size=128,cmp-net-ranker
310,1648,0.6712662,0.735153,0.40098444,faster-rcnn,resnet,reduced_size=128,cmp-net-ranker
310,1119,0.64257276,0.708044,0.38141024,faster-rcnn,resnet,reduced_size=128,cmp-net-ranker
310,1118,0.6244579,0.6877055,0.37643084,faster-rcnn,resnet,reduced_size=128,cmp-net-ranker
310,1117,0.6488168,0.70915973,0.4005838,faster-rcnn,resnet,reduced_size=128,cmp-net-ranker
