id,id,kendalls_tau,spearman,zero_one_accuracy,object_detection_precision,object_detection_recall,label_accuracy,object_detector,object_detector_params,feature_transformer,object_ranker
508,1714,0.6874743,0.72662365,0.5921474,0.16991644,0.4787702,0.7576465,yolo,"backbone_name=resnet,n_cells=11,predictions_per_cell=2",resnet,torch-fate-ranker
508,1713,0.6659677,0.70786506,0.56501836,0.14742848,0.48819825,0.74270314,yolo,"backbone_name=resnet,n_cells=11,predictions_per_cell=2",resnet,torch-fate-ranker
508,1383,0.7247304,0.75817806,0.63810664,0.137624,0.4008777,0.747302,yolo,"backbone_name=resnet,n_cells=11,predictions_per_cell=2",resnet,torch-fate-ranker
508,1382,0.77957565,0.80610955,0.70839053,0.11886898,0.31684104,0.7387247,yolo,"backbone_name=resnet,n_cells=11,predictions_per_cell=2",resnet,torch-fate-ranker
508,1299,0.69806135,0.73564816,0.6014194,0.18991922,0.48733306,0.7626133,yolo,"backbone_name=resnet,n_cells=11,predictions_per_cell=2",resnet,torch-fate-ranker
507,1712,0.739421,0.7747199,0.6403388,0.1163114,0.42100915,0.7658723,yolo,"backbone_name=mobilenet,n_cells=11,predictions_per_cell=2",resnet,torch-fate-ranker
507,1711,0.76644367,0.794057,0.6966575,0.10587155,0.33018678,0.71122897,yolo,"backbone_name=mobilenet,n_cells=11,predictions_per_cell=2",resnet,torch-fate-ranker
507,1381,0.7462122,0.77994883,0.6676969,0.09682165,0.35619667,0.7240486,yolo,"backbone_name=mobilenet,n_cells=11,predictions_per_cell=2",resnet,torch-fate-ranker
507,1380,0.7426334,0.7728762,0.6713599,0.11413311,0.34023362,0.71296024,yolo,"backbone_name=mobilenet,n_cells=11,predictions_per_cell=2",resnet,torch-fate-ranker
507,1298,0.74574745,0.77518064,0.6777129,0.09478045,0.35393378,0.7515859,yolo,"backbone_name=mobilenet,n_cells=11,predictions_per_cell=2",resnet,torch-fate-ranker
506,1710,0.7804444,0.80638003,0.7182349,0.13364579,0.33441135,0.70291674,yolo,"backbone_name=resnet,n_cells=7,predictions_per_cell=2",resnet,torch-fate-ranker
506,1709,0.72693676,0.7536339,0.69293725,0.15215994,0.33760807,0.6913394,yolo,"backbone_name=resnet,n_cells=7,predictions_per_cell=2",resnet,torch-fate-ranker
506,1379,0.7069398,0.73583406,0.66912776,0.14168409,0.33103448,0.7155077,yolo,"backbone_name=resnet,n_cells=7,predictions_per_cell=2",resnet,torch-fate-ranker
506,1378,0.86530024,0.87957054,0.8467262,0.040818818,0.12895288,0.45617846,yolo,"backbone_name=resnet,n_cells=7,predictions_per_cell=2",resnet,torch-fate-ranker
506,1297,0.76754,0.79338247,0.7279075,0.15518813,0.30400345,0.6551211,yolo,"backbone_name=resnet,n_cells=7,predictions_per_cell=2",resnet,torch-fate-ranker
505,1708,0.80343753,0.82948196,0.74708104,0.101996884,0.26644254,0.6505429,yolo,"backbone_name=mobilenet,n_cells=7,predictions_per_cell=2",resnet,torch-fate-ranker
505,1707,0.7913081,0.8168749,0.7374084,0.098441474,0.2511054,0.6368392,yolo,"backbone_name=mobilenet,n_cells=7,predictions_per_cell=2",resnet,torch-fate-ranker
505,1377,0.800452,0.8234237,0.750973,0.09246121,0.2518331,0.62624526,yolo,"backbone_name=mobilenet,n_cells=7,predictions_per_cell=2",resnet,torch-fate-ranker
505,1376,0.76703405,0.79163444,0.73048306,0.0899555,0.27671543,0.710186,yolo,"backbone_name=mobilenet,n_cells=7,predictions_per_cell=2",resnet,torch-fate-ranker
505,1296,0.8183962,0.8418909,0.76024497,0.08965899,0.2324664,0.60547227,yolo,"backbone_name=mobilenet,n_cells=7,predictions_per_cell=2",resnet,torch-fate-ranker
103,1595,0.6427483,0.7037028,0.39297163,0.46614,0.90315455,0.83885777,faster-rcnn,,resnet,torch-fate-ranker
103,1594,0.6075613,0.6673276,0.38272667,0.5878923,0.87442386,0.82411855,faster-rcnn,,resnet,torch-fate-ranker
103,1060,0.6435395,0.7068842,0.39983976,0.5136755,0.89914006,0.8384639,faster-rcnn,,resnet,torch-fate-ranker
103,1059,0.6176003,0.68210226,0.3635531,0.44976184,0.9117648,0.8626602,faster-rcnn,,resnet,torch-fate-ranker
103,1038,0.6481744,0.712744,0.40710855,0.45269898,0.9071384,0.8471101,faster-rcnn,,resnet,torch-fate-ranker
