id,id,kendalls_tau,spearman,zero_one_accuracy,model_params,object_detector,feature_transformer,object_ranker,object_ranker_params
259,870,0.54036015,0.5995206,0.3444368,box_expansion_factor=1.0,faster-rcnn,handcrafted,torch-fate-ranker,use_image_context=true
259,869,0.54571956,0.6058154,0.35244966,box_expansion_factor=1.0,faster-rcnn,handcrafted,torch-fate-ranker,use_image_context=true
259,868,0.534837,0.5918333,0.34403616,box_expansion_factor=1.0,faster-rcnn,handcrafted,torch-fate-ranker,use_image_context=true
259,867,0.54398423,0.6048308,0.342777,box_expansion_factor=1.0,faster-rcnn,handcrafted,torch-fate-ranker,use_image_context=true
259,645,0.48639658,0.53659564,0.33774036,box_expansion_factor=1.0,faster-rcnn,handcrafted,torch-fate-ranker,use_image_context=true
257,862,0.5576341,0.61514264,0.36561355,box_expansion_factor=0.3,faster-rcnn,handcrafted,torch-fate-ranker,use_image_context=true
257,861,0.55002564,0.6067678,0.34964514,box_expansion_factor=0.3,faster-rcnn,handcrafted,torch-fate-ranker,use_image_context=true
257,860,0.56459457,0.6221235,0.3551969,box_expansion_factor=0.3,faster-rcnn,handcrafted,torch-fate-ranker,use_image_context=true
257,859,0.44955486,0.5000923,0.31003892,box_expansion_factor=0.3,faster-rcnn,handcrafted,torch-fate-ranker,use_image_context=true
257,643,0.54229623,0.6028473,0.34352106,box_expansion_factor=0.3,faster-rcnn,handcrafted,torch-fate-ranker,use_image_context=true
255,854,0.5362358,0.59437686,0.33012822,box_expansion_factor=1.0,faster-rcnn,handcrafted,torch-fate-ranker,
255,853,0.5457687,0.60636973,0.3416323,box_expansion_factor=1.0,faster-rcnn,handcrafted,torch-fate-ranker,
255,852,0.54986274,0.61044514,0.35428113,box_expansion_factor=1.0,faster-rcnn,handcrafted,torch-fate-ranker,
255,851,0.53379196,0.5936327,0.33419186,box_expansion_factor=1.0,faster-rcnn,handcrafted,torch-fate-ranker,
255,641,0.56594586,0.6219018,0.39388737,box_expansion_factor=1.0,faster-rcnn,handcrafted,torch-fate-ranker,
253,846,0.5662187,0.6191775,0.37454212,box_expansion_factor=0.3,faster-rcnn,handcrafted,torch-fate-ranker,
253,845,0.56075853,0.6203377,0.35244966,box_expansion_factor=0.3,faster-rcnn,handcrafted,torch-fate-ranker,
253,844,0.56183,0.6208512,0.35353708,box_expansion_factor=0.3,faster-rcnn,handcrafted,torch-fate-ranker,
253,843,0.5697479,0.6282077,0.35428113,box_expansion_factor=0.3,faster-rcnn,handcrafted,torch-fate-ranker,
253,639,0.5616769,0.6168954,0.35594094,box_expansion_factor=0.3,faster-rcnn,handcrafted,torch-fate-ranker,
251,838,0.56621206,0.6198495,0.36469778,,faster-rcnn,handcrafted,torch-fate-ranker,use_image_context=true
251,837,0.5767282,0.62891567,0.38404307,,faster-rcnn,handcrafted,torch-fate-ranker,use_image_context=true
251,836,0.55820674,0.61436605,0.35130495,,faster-rcnn,handcrafted,torch-fate-ranker,use_image_context=true
251,835,0.03703898,0.03713585,0.19974817,,faster-rcnn,handcrafted,torch-fate-ranker,use_image_context=true
251,637,0.57573456,0.6309921,0.37271062,,faster-rcnn,handcrafted,torch-fate-ranker,use_image_context=true
246,818,0.57264286,0.6277146,0.36527014,,faster-rcnn,handcrafted,torch-fate-ranker,
246,817,0.5709092,0.6308295,0.342777,,faster-rcnn,handcrafted,torch-fate-ranker,
246,816,0.56201243,0.6201617,0.34666896,,faster-rcnn,handcrafted,torch-fate-ranker,
246,815,0.5801698,0.6338315,0.38272667,,faster-rcnn,handcrafted,torch-fate-ranker,
246,632,0.56699926,0.62433124,0.36527014,,faster-rcnn,handcrafted,torch-fate-ranker,
