id,id,kendalls_tau,spearman,zero_one_accuracy,model_params,object_detector,feature_transformer,object_ranker,object_ranker_params
260,874,0.5317894,0.58695424,0.3505609,box_expansion_factor=1.0,faster-rcnn,handcrafted,torch-feta-ranker,use_image_context=true
260,873,0.56012803,0.62062776,0.34850046,box_expansion_factor=1.0,faster-rcnn,handcrafted,torch-feta-ranker,use_image_context=true
260,872,0.53595173,0.5931181,0.34626833,box_expansion_factor=1.0,faster-rcnn,handcrafted,torch-feta-ranker,use_image_context=true
260,871,0.53797764,0.60011417,0.32972756,box_expansion_factor=1.0,faster-rcnn,handcrafted,torch-feta-ranker,use_image_context=true
260,646,0.5529743,0.6071927,0.38032278,box_expansion_factor=1.0,faster-rcnn,handcrafted,torch-feta-ranker,use_image_context=true
258,866,0.5828239,0.6348661,0.40934068,box_expansion_factor=0.3,faster-rcnn,handcrafted,torch-feta-ranker,use_image_context=true
258,865,0.55190307,0.60772866,0.34798536,box_expansion_factor=0.3,faster-rcnn,handcrafted,torch-feta-ranker,use_image_context=true
258,864,0.57658476,0.63711,0.3505609,box_expansion_factor=0.3,faster-rcnn,handcrafted,torch-feta-ranker,use_image_context=true
258,863,0.56776357,0.62739897,0.34867215,box_expansion_factor=0.3,faster-rcnn,handcrafted,torch-feta-ranker,use_image_context=true
258,644,0.5727053,0.6299073,0.35782966,box_expansion_factor=0.3,faster-rcnn,handcrafted,torch-feta-ranker,use_image_context=true
256,858,0.5369586,0.59588915,0.33419186,box_expansion_factor=1.0,faster-rcnn,handcrafted,torch-feta-ranker,
256,857,0.5200036,0.5757202,0.3360806,box_expansion_factor=1.0,faster-rcnn,handcrafted,torch-feta-ranker,
256,856,0.5357064,0.5960866,0.33476418,box_expansion_factor=1.0,faster-rcnn,handcrafted,torch-feta-ranker,
256,855,0.5447507,0.5984077,0.3632097,box_expansion_factor=1.0,faster-rcnn,handcrafted,torch-feta-ranker,
256,642,0.563406,0.6247196,0.35279304,box_expansion_factor=1.0,faster-rcnn,handcrafted,torch-feta-ranker,
254,850,0.5599292,0.616779,0.3585737,box_expansion_factor=0.3,faster-rcnn,handcrafted,torch-feta-ranker,
254,849,0.56412965,0.6188661,0.37156594,box_expansion_factor=0.3,faster-rcnn,handcrafted,torch-feta-ranker,
254,848,0.56115806,0.61990273,0.33831275,box_expansion_factor=0.3,faster-rcnn,handcrafted,torch-feta-ranker,
254,847,0.5284251,0.58980495,0.33402014,box_expansion_factor=0.3,faster-rcnn,handcrafted,torch-feta-ranker,
254,640,0.5444752,0.59675735,0.3818109,box_expansion_factor=0.3,faster-rcnn,handcrafted,torch-feta-ranker,
252,842,0.563427,0.620587,0.35296473,,faster-rcnn,handcrafted,torch-feta-ranker,use_image_context=true
252,841,0.57926005,0.6313971,0.38999543,,faster-rcnn,handcrafted,torch-feta-ranker,use_image_context=true
252,840,0.5564591,0.6110133,0.36246565,,faster-rcnn,handcrafted,torch-feta-ranker,use_image_context=true
252,839,0.5639824,0.6223465,0.34518084,,faster-rcnn,handcrafted,torch-feta-ranker,use_image_context=true
252,638,0.56378096,0.6226434,0.35393775,,faster-rcnn,handcrafted,torch-feta-ranker,use_image_context=true
247,822,0.56547326,0.62304157,0.34907278,,faster-rcnn,handcrafted,torch-feta-ranker,
247,821,0.56451243,0.6225343,0.35038918,,faster-rcnn,handcrafted,torch-feta-ranker,
247,820,0.5705016,0.6255295,0.3658425,,faster-rcnn,handcrafted,torch-feta-ranker,
247,819,0.54466516,0.6008526,0.3459249,,faster-rcnn,handcrafted,torch-feta-ranker,
247,633,0.5562608,0.61491394,0.34518084,,faster-rcnn,handcrafted,torch-feta-ranker,
