id,id,kendalls_tau,spearman,zero_one_accuracy,model_params,object_detector,feature_transformer,feature_transformer_params,object_ranker,object_ranker_params
306,1641,0.6449023,0.7051841,0.40487638,,faster-rcnn,resnet,reduced_size=128,torch-feta-ranker,
306,1640,0.65886134,0.7214326,0.40430406,,faster-rcnn,resnet,reduced_size=128,torch-feta-ranker,
306,1110,0.67042714,0.7339129,0.4134043,,faster-rcnn,resnet,reduced_size=128,torch-feta-ranker,
306,1109,0.64108896,0.69908893,0.39886674,,faster-rcnn,resnet,reduced_size=128,torch-feta-ranker,
306,1108,0.66163063,0.7274343,0.39983976,,faster-rcnn,resnet,reduced_size=128,torch-feta-ranker,
230,1627,0.5446575,0.6083619,0.33344778,box_expansion_factor=1.0,faster-rcnn,resnet,reduced_size=128,torch-feta-ranker,use_image_context=true
230,1626,0.58050996,0.64581275,0.34312043,box_expansion_factor=1.0,faster-rcnn,resnet,reduced_size=128,torch-feta-ranker,use_image_context=true
230,1472,0.56067705,0.6194585,0.3661859,box_expansion_factor=1.0,faster-rcnn,resnet,reduced_size=128,torch-feta-ranker,use_image_context=true
230,1471,0.55837697,0.6224465,0.33716804,box_expansion_factor=1.0,faster-rcnn,resnet,reduced_size=128,torch-feta-ranker,use_image_context=true
230,1452,0.53989387,0.60110253,0.33476418,box_expansion_factor=1.0,faster-rcnn,resnet,reduced_size=128,torch-feta-ranker,use_image_context=true
228,1623,0.61109227,0.666388,0.41323262,box_expansion_factor=0.3,faster-rcnn,resnet,reduced_size=128,torch-feta-ranker,use_image_context=true
228,1622,0.57768595,0.6385068,0.36595696,box_expansion_factor=0.3,faster-rcnn,resnet,reduced_size=128,torch-feta-ranker,use_image_context=true
228,1468,0.6037795,0.66862005,0.36263737,box_expansion_factor=0.3,faster-rcnn,resnet,reduced_size=128,torch-feta-ranker,use_image_context=true
228,1467,0.57379454,0.6314307,0.3614927,box_expansion_factor=0.3,faster-rcnn,resnet,reduced_size=128,torch-feta-ranker,use_image_context=true
228,1450,0.6089625,0.67154306,0.37122253,box_expansion_factor=0.3,faster-rcnn,resnet,reduced_size=128,torch-feta-ranker,use_image_context=true
226,1619,0.5403565,0.60586894,0.3273237,box_expansion_factor=1.0,faster-rcnn,resnet,reduced_size=128,torch-feta-ranker,
226,1618,0.56007653,0.6171746,0.352049,box_expansion_factor=1.0,faster-rcnn,resnet,reduced_size=128,torch-feta-ranker,
226,1464,0.5750346,0.6388943,0.33699632,box_expansion_factor=1.0,faster-rcnn,resnet,reduced_size=128,torch-feta-ranker,
226,1463,0.5711942,0.63478047,0.34329212,box_expansion_factor=1.0,faster-rcnn,resnet,reduced_size=128,torch-feta-ranker,
226,1448,0.5776564,0.6376236,0.34105998,box_expansion_factor=1.0,faster-rcnn,resnet,reduced_size=128,torch-feta-ranker,
224,1615,0.57934153,0.63863283,0.3551969,box_expansion_factor=0.3,faster-rcnn,resnet,reduced_size=128,torch-feta-ranker,
224,1614,0.57334393,0.6325616,0.35279304,box_expansion_factor=0.3,faster-rcnn,resnet,reduced_size=128,torch-feta-ranker,
224,1460,0.60091066,0.6608907,0.37362638,box_expansion_factor=0.3,faster-rcnn,resnet,reduced_size=128,torch-feta-ranker,
224,1459,0.58918333,0.65140027,0.35313645,box_expansion_factor=0.3,faster-rcnn,resnet,reduced_size=128,torch-feta-ranker,
224,1446,0.5790379,0.6409186,0.3492445,box_expansion_factor=0.3,faster-rcnn,resnet,reduced_size=128,torch-feta-ranker,
222,1611,0.6463759,0.70394224,0.4162088,,faster-rcnn,resnet,reduced_size=128,torch-feta-ranker,use_image_context=true
222,1610,0.61065507,0.6718724,0.37345466,,faster-rcnn,resnet,reduced_size=128,torch-feta-ranker,use_image_context=true
222,1456,0.649321,0.7098554,0.41323262,,faster-rcnn,resnet,reduced_size=128,torch-feta-ranker,use_image_context=true
222,1455,0.6304351,0.6918456,0.37213826,,faster-rcnn,resnet,reduced_size=128,torch-feta-ranker,use_image_context=true
222,1444,0.663687,0.724405,0.40447572,,faster-rcnn,resnet,reduced_size=128,torch-feta-ranker,use_image_context=true
