id,id,kendalls_tau,spearman,zero_one_accuracy,model_params,object_detector,feature_transformer,object_ranker,object_ranker_params
244,810,0.701055,0.759805,0.43521065,box_expansion_factor=1.0,faster-rcnn,spatial-mask,torch-fate-ranker,use_image_context=true
244,809,0.692078,0.7477742,0.44133472,box_expansion_factor=1.0,faster-rcnn,spatial-mask,torch-fate-ranker,use_image_context=true
244,808,0.74887335,0.8001369,0.50492215,box_expansion_factor=1.0,faster-rcnn,spatial-mask,torch-fate-ranker,use_image_context=true
244,807,0.72249746,0.7787862,0.46067995,box_expansion_factor=1.0,faster-rcnn,spatial-mask,torch-fate-ranker,use_image_context=true
244,630,0.7358991,0.79375595,0.46531597,box_expansion_factor=1.0,faster-rcnn,spatial-mask,torch-fate-ranker,use_image_context=true
242,802,0.70568496,0.7693601,0.42645377,box_expansion_factor=0.3,faster-rcnn,spatial-mask,torch-fate-ranker,use_image_context=true
242,801,0.71573824,0.774735,0.4534112,box_expansion_factor=0.3,faster-rcnn,spatial-mask,torch-fate-ranker,use_image_context=true
242,800,0.7194326,0.7788362,0.43498167,box_expansion_factor=0.3,faster-rcnn,spatial-mask,torch-fate-ranker,use_image_context=true
242,799,0.7275557,0.78579795,0.46119505,box_expansion_factor=0.3,faster-rcnn,spatial-mask,torch-fate-ranker,use_image_context=true
242,628,0.7227692,0.7812141,0.45226645,box_expansion_factor=0.3,faster-rcnn,spatial-mask,torch-fate-ranker,use_image_context=true
240,794,0.700114,0.75883555,0.42010072,box_expansion_factor=1.0,faster-rcnn,spatial-mask,torch-fate-ranker,
240,793,0.72096395,0.7790254,0.44242215,box_expansion_factor=1.0,faster-rcnn,spatial-mask,torch-fate-ranker,
240,792,0.6794554,0.7405263,0.41008472,box_expansion_factor=1.0,faster-rcnn,spatial-mask,torch-fate-ranker,
240,791,0.69705623,0.7556413,0.44150645,box_expansion_factor=1.0,faster-rcnn,spatial-mask,torch-fate-ranker,
240,626,0.69599766,0.75331396,0.44041896,box_expansion_factor=1.0,faster-rcnn,spatial-mask,torch-fate-ranker,
238,786,0.69361293,0.7500575,0.43223444,box_expansion_factor=0.3,faster-rcnn,spatial-mask,torch-fate-ranker,
238,785,0.6872831,0.74733955,0.42010072,box_expansion_factor=0.3,faster-rcnn,spatial-mask,torch-fate-ranker,
238,784,0.69618106,0.7559485,0.44688642,box_expansion_factor=0.3,faster-rcnn,spatial-mask,torch-fate-ranker,
238,783,0.6481144,0.7058612,0.40356,box_expansion_factor=0.3,faster-rcnn,spatial-mask,torch-fate-ranker,
238,624,0.70917577,0.7676646,0.44242215,box_expansion_factor=0.3,faster-rcnn,spatial-mask,torch-fate-ranker,
236,778,0.713933,0.76885915,0.47258472,,faster-rcnn,spatial-mask,torch-fate-ranker,use_image_context=true
236,777,0.6907989,0.75191325,0.4316621,,faster-rcnn,spatial-mask,torch-fate-ranker,use_image_context=true
236,776,0.6971592,0.7518986,0.45266715,,faster-rcnn,spatial-mask,torch-fate-ranker,use_image_context=true
236,775,0.68841714,0.7465601,0.42382094,,faster-rcnn,spatial-mask,torch-fate-ranker,use_image_context=true
236,622,0.69753444,0.75825465,0.424565,,faster-rcnn,spatial-mask,torch-fate-ranker,use_image_context=true
231,758,0.67525506,0.7360401,0.4009272,,faster-rcnn,spatial-mask,torch-fate-ranker,
231,757,0.66011196,0.724317,0.38925138,,faster-rcnn,spatial-mask,torch-fate-ranker,
231,756,0.69561726,0.7500649,0.44705814,,faster-rcnn,spatial-mask,torch-fate-ranker,
231,755,0.7030543,0.7585356,0.47052428,,faster-rcnn,spatial-mask,torch-fate-ranker,
231,617,0.6857654,0.7439317,0.44202152,,faster-rcnn,spatial-mask,torch-fate-ranker,
