id,id,kendalls_tau,spearman,zero_one_accuracy,model_params,object_detector,feature_transformer,object_ranker,object_ranker_params
245,814,0.7117969,0.7722275,0.4456273,box_expansion_factor=1.0,faster-rcnn,spatial-mask,torch-feta-ranker,use_image_context=true
245,813,0.73159933,0.7885484,0.4671474,box_expansion_factor=1.0,faster-rcnn,spatial-mask,torch-feta-ranker,use_image_context=true
245,812,0.7217186,0.78455687,0.44150645,box_expansion_factor=1.0,faster-rcnn,spatial-mask,torch-feta-ranker,use_image_context=true
245,811,0.70365644,0.76673365,0.42942995,box_expansion_factor=1.0,faster-rcnn,spatial-mask,torch-feta-ranker,use_image_context=true
245,631,0.65487087,0.7092061,0.44373858,box_expansion_factor=1.0,faster-rcnn,spatial-mask,torch-feta-ranker,use_image_context=true
243,806,0.7097306,0.76781493,0.4433379,box_expansion_factor=0.3,faster-rcnn,spatial-mask,torch-feta-ranker,use_image_context=true
243,805,0.69378483,0.7535984,0.43234888,box_expansion_factor=0.3,faster-rcnn,spatial-mask,torch-feta-ranker,use_image_context=true
243,804,0.7120457,0.7712801,0.43944594,box_expansion_factor=0.3,faster-rcnn,spatial-mask,torch-feta-ranker,use_image_context=true
243,803,0.69814634,0.759772,0.42736953,box_expansion_factor=0.3,faster-rcnn,spatial-mask,torch-feta-ranker,use_image_context=true
243,629,0.68442285,0.7468158,0.42496568,box_expansion_factor=0.3,faster-rcnn,spatial-mask,torch-feta-ranker,use_image_context=true
241,798,0.72547805,0.7845769,0.45621568,box_expansion_factor=1.0,faster-rcnn,spatial-mask,torch-feta-ranker,
241,797,0.73574,0.79818654,0.46829215,box_expansion_factor=1.0,faster-rcnn,spatial-mask,torch-feta-ranker,
241,796,0.7154497,0.7746124,0.44557005,box_expansion_factor=1.0,faster-rcnn,spatial-mask,torch-feta-ranker,
241,795,0.7005488,0.76095873,0.43200547,box_expansion_factor=1.0,faster-rcnn,spatial-mask,torch-feta-ranker,
241,627,0.72688526,0.7820344,0.46806318,box_expansion_factor=1.0,faster-rcnn,spatial-mask,torch-feta-ranker,
239,790,0.68504363,0.7435389,0.42290524,box_expansion_factor=0.3,faster-rcnn,spatial-mask,torch-feta-ranker,
239,789,0.68408805,0.74732524,0.4091117,box_expansion_factor=0.3,faster-rcnn,spatial-mask,torch-feta-ranker,
239,788,0.70342493,0.7608033,0.4418498,box_expansion_factor=0.3,faster-rcnn,spatial-mask,torch-feta-ranker,
239,787,0.7094195,0.7713346,0.44110575,box_expansion_factor=0.3,faster-rcnn,spatial-mask,torch-feta-ranker,
239,625,0.6943412,0.75365305,0.44763047,box_expansion_factor=0.3,faster-rcnn,spatial-mask,torch-feta-ranker,
237,782,0.7001521,0.75940007,0.4318338,,faster-rcnn,spatial-mask,torch-feta-ranker,use_image_context=true
237,781,0.7047542,0.762739,0.4372138,,faster-rcnn,spatial-mask,torch-feta-ranker,use_image_context=true
237,780,0.69690925,0.757113,0.45764652,,faster-rcnn,spatial-mask,torch-feta-ranker,use_image_context=true
237,779,0.66804093,0.7288689,0.40430406,,faster-rcnn,spatial-mask,torch-feta-ranker,use_image_context=true
237,623,0.68452495,0.7443574,0.42233285,,faster-rcnn,spatial-mask,torch-feta-ranker,use_image_context=true
232,762,0.70512456,0.760893,0.45690244,,faster-rcnn,spatial-mask,torch-feta-ranker,
232,761,0.68725896,0.7449649,0.4293727,,faster-rcnn,spatial-mask,torch-feta-ranker,
232,760,0.68443745,0.74395466,0.41414833,,faster-rcnn,spatial-mask,torch-feta-ranker,
232,759,0.6812338,0.74388,0.40579215,,faster-rcnn,spatial-mask,torch-feta-ranker,
232,618,0.6844553,0.745613,0.42250457,,faster-rcnn,spatial-mask,torch-feta-ranker,
