id,id,kendalls_tau,spearman,zero_one_accuracy,object_detector,feature_transformer,feature_transformer_params,object_ranker
131,1607,0.6645943,0.7221238,0.42513737,faster-rcnn,"resnet,handcrafted",reduced_size=256|,torch-fate-ranker
131,1606,0.7012531,0.7585864,0.45100734,faster-rcnn,"resnet,handcrafted",reduced_size=256|,torch-fate-ranker
131,1605,0.63946056,0.69874835,0.4050481,faster-rcnn,"resnet,handcrafted",reduced_size=256|,torch-fate-ranker
131,1604,0.6610742,0.729802,0.3877633,faster-rcnn,"resnet,handcrafted",reduced_size=256|,torch-fate-ranker
131,1591,0.64122146,0.7023509,0.39016715,faster-rcnn,"resnet,handcrafted",reduced_size=256|,torch-fate-ranker
130,1603,0.6705281,0.73509467,0.4078526,faster-rcnn,"spatial-mask,handcrafted",,torch-fate-ranker
130,1602,0.65945476,0.7160386,0.42256182,faster-rcnn,"spatial-mask,handcrafted",,torch-fate-ranker
130,1590,0.6519293,0.7150744,0.38141024,faster-rcnn,"spatial-mask,handcrafted",,torch-fate-ranker
130,1589,0.69284,0.7548543,0.42496568,faster-rcnn,"spatial-mask,handcrafted",,torch-fate-ranker
130,1588,0.6783084,0.74190307,0.4065362,faster-rcnn,"spatial-mask,handcrafted",,torch-fate-ranker
114,1411,0.72100145,0.77647,0.45839056,faster-rcnn,"resnet,spatial-mask,handcrafted",reduced_size=128|mask_size=64|,torch-fate-ranker
114,1410,0.7192281,0.7755423,0.45135072,faster-rcnn,"resnet,spatial-mask,handcrafted",reduced_size=128|mask_size=64|,torch-fate-ranker
114,1359,0.69660383,0.7537387,0.45060667,faster-rcnn,"resnet,spatial-mask,handcrafted",reduced_size=128|mask_size=64|,torch-fate-ranker
114,1358,0.7235606,0.7797427,0.4669185,faster-rcnn,"resnet,spatial-mask,handcrafted",reduced_size=128|mask_size=64|,torch-fate-ranker
114,1357,0.68815035,0.7448743,0.44763047,faster-rcnn,"resnet,spatial-mask,handcrafted",reduced_size=128|mask_size=64|,torch-fate-ranker
113,1409,0.7074284,0.76189166,0.46434292,faster-rcnn,"resnet,spatial-mask",reduced_size=128|mask_size=64,torch-fate-ranker
113,1408,0.6872077,0.7469621,0.43795785,faster-rcnn,"resnet,spatial-mask",reduced_size=128|mask_size=64,torch-fate-ranker
113,1356,0.7104959,0.76826733,0.44705814,faster-rcnn,"resnet,spatial-mask",reduced_size=128|mask_size=64,torch-fate-ranker
113,1354,0.694789,0.7486175,0.4764194,faster-rcnn,"resnet,spatial-mask",reduced_size=128|mask_size=64,torch-fate-ranker
113,1353,0.6993757,0.7578896,0.42324862,faster-rcnn,"resnet,spatial-mask",reduced_size=128|mask_size=64,torch-fate-ranker
106,462,0.56867605,0.6269903,0.3585737,faster-rcnn,handcrafted,,torch-fate-ranker
106,461,0.56192166,0.61710954,0.35576922,faster-rcnn,handcrafted,,torch-fate-ranker
106,460,0.5772863,0.63423777,0.3648695,faster-rcnn,handcrafted,,torch-fate-ranker
106,459,0.5674495,0.62513924,0.35187727,faster-rcnn,handcrafted,,torch-fate-ranker
106,458,0.57575226,0.6277214,0.38982373,faster-rcnn,handcrafted,,torch-fate-ranker
105,1396,0.6951261,0.7586389,0.40859663,faster-rcnn,spatial-mask,mask_size=64,torch-fate-ranker
105,1395,0.6799775,0.7438416,0.4005838,faster-rcnn,spatial-mask,mask_size=64,torch-fate-ranker
105,1176,0.66492665,0.72761714,0.4063645,faster-rcnn,spatial-mask,mask_size=64,torch-fate-ranker
105,1175,0.7163394,0.7691827,0.47739238,faster-rcnn,spatial-mask,mask_size=64,torch-fate-ranker
105,1174,0.6876533,0.7508521,0.39966807,faster-rcnn,spatial-mask,mask_size=64,torch-fate-ranker
103,1595,0.6427483,0.7037028,0.39297163,faster-rcnn,resnet,reduced_size=128,torch-fate-ranker
103,1594,0.6075613,0.6673276,0.38272667,faster-rcnn,resnet,reduced_size=128,torch-fate-ranker
103,1060,0.6435395,0.7068842,0.39983976,faster-rcnn,resnet,reduced_size=128,torch-fate-ranker
103,1059,0.6176003,0.68210226,0.3635531,faster-rcnn,resnet,reduced_size=128,torch-fate-ranker
103,1038,0.6481744,0.712744,0.40710855,faster-rcnn,resnet,reduced_size=128,torch-fate-ranker
