id,id,kendalls_tau,spearman,zero_one_accuracy,object_detection_precision,object_detection_recall,label_accuracy,model,object_detector,feature_transformer,feature_transformer_params,object_ranker
604,1629,0.71825194,0.77369535,0.46937957,0.5044614,0.8924317,0.83754325,iorank,faster-rcnn,"resnet,spatial-mask,handcrafted",,torch-fate-ranker
604,1428,0.71657693,0.7723127,0.45169413,0.4706538,0.9070161,0.8457045,iorank,faster-rcnn,"resnet,spatial-mask,handcrafted",,torch-fate-ranker
604,1422,0.7202679,0.7810048,0.4286859,0.4500533,0.9214735,0.8229721,iorank,faster-rcnn,"resnet,spatial-mask,handcrafted",,torch-fate-ranker
604,1419,0.732469,0.7864033,0.4740728,0.462501,0.9033655,0.8296355,iorank,faster-rcnn,"resnet,spatial-mask,handcrafted",,torch-fate-ranker
602,1735,0.4376601,0.47944614,0.3110119,0.5030616,0.8897749,0.848641,dorn-ranker,,,,
602,1734,0.41090658,0.45462635,0.2950893,0.49441504,0.90514183,0.83548635,dorn-ranker,,,,
602,1733,0.41313416,0.4530548,0.31145835,0.5328366,0.8745913,0.8233195,dorn-ranker,,,,
602,1494,0.4145651,0.45676717,0.28764883,0.46604177,0.91963077,0.8715173,dorn-ranker,,,,
602,1493,0.42194733,0.46624646,0.29880953,0.49242356,0.8993023,0.859802,dorn-ranker,,,,
601,1732,0.77466685,0.82816,0.5086424,0.44594368,0.9126443,0.83951455,iorank,faster-rcnn,bounding-box,,baseline-ranker
601,1731,0.76981366,0.8241648,0.501946,0.48837897,0.9086523,0.8432953,iorank,faster-rcnn,bounding-box,,baseline-ranker
601,1366,0.76430863,0.8170438,0.49805406,0.4507896,0.91341364,0.83384424,iorank,faster-rcnn,bounding-box,,baseline-ranker
601,1365,0.7632748,0.8177646,0.501946,0.4387898,0.91579103,0.85380936,iorank,faster-rcnn,bounding-box,,baseline-ranker
601,1364,0.7590868,0.8147642,0.4859776,0.4619378,0.91911864,0.8586608,iorank,faster-rcnn,bounding-box,,baseline-ranker
114,1411,0.72100145,0.77647,0.45839056,0.48851183,0.90325105,0.8539748,iorank,faster-rcnn,"resnet,spatial-mask,handcrafted",reduced_size=128|mask_size=64|,torch-fate-ranker
114,1410,0.7192281,0.7755423,0.45135072,0.5410399,0.8991966,0.86144227,iorank,faster-rcnn,"resnet,spatial-mask,handcrafted",reduced_size=128|mask_size=64|,torch-fate-ranker
114,1359,0.69660383,0.7537387,0.45060667,0.45709524,0.9029358,0.8066461,iorank,faster-rcnn,"resnet,spatial-mask,handcrafted",reduced_size=128|mask_size=64|,torch-fate-ranker
114,1358,0.7235606,0.7797427,0.4669185,0.46224612,0.9064976,0.8572473,iorank,faster-rcnn,"resnet,spatial-mask,handcrafted",reduced_size=128|mask_size=64|,torch-fate-ranker
114,1357,0.68815035,0.7448743,0.44763047,0.5054515,0.89224696,0.85473806,iorank,faster-rcnn,"resnet,spatial-mask,handcrafted",reduced_size=128|mask_size=64|,torch-fate-ranker
