id,id,kendalls_tau,spearman,zero_one_accuracy,object_detector,feature_transformer,feature_transformer_params,object_ranker
416,1771,0.7482988,0.7922305,0.55257934,mask-rcnn,resnet,reduced_size=256,torch-feta-ranker
416,1770,0.7244486,0.76922756,0.53869045,mask-rcnn,resnet,reduced_size=256,torch-feta-ranker
416,1569,0.78390384,0.8302399,0.5674603,mask-rcnn,resnet,reduced_size=256,torch-feta-ranker
416,1540,0.77983814,0.82628685,0.56646824,mask-rcnn,resnet,reduced_size=256,torch-feta-ranker
416,1511,0.777491,0.8275226,0.546627,mask-rcnn,resnet,reduced_size=256,torch-feta-ranker
415,1769,0.7447244,0.78768384,0.56349206,mask-rcnn,alexnet,reduced_size=256,torch-feta-ranker
415,1768,0.76184916,0.80562747,0.56845236,mask-rcnn,alexnet,reduced_size=256,torch-feta-ranker
415,1539,0.76196814,0.80509144,0.56349206,mask-rcnn,alexnet,reduced_size=256,torch-feta-ranker
415,1538,0.7440713,0.7876655,0.56150794,mask-rcnn,alexnet,reduced_size=256,torch-feta-ranker
415,1510,0.7335427,0.7810256,0.5416667,mask-rcnn,alexnet,reduced_size=256,torch-feta-ranker
414,1767,0.3280293,0.35847682,0.33829364,mask-rcnn,raw,reduced_size=64,torch-feta-ranker
414,1766,0.3484001,0.38633525,0.34126985,mask-rcnn,raw,reduced_size=64,torch-feta-ranker
414,1568,0.36633164,0.40057483,0.35416666,mask-rcnn,raw,reduced_size=64,torch-feta-ranker
414,1537,0.35962656,0.39012656,0.3472222,mask-rcnn,raw,reduced_size=64,torch-feta-ranker
414,1509,0.34805506,0.38755694,0.33531746,mask-rcnn,raw,reduced_size=64,torch-feta-ranker
413,1765,0.47831908,0.5248199,0.38988096,mask-rcnn,autoencoder-conv,"n_latent_features=4096,reduced_size=192",torch-feta-ranker
413,1764,0.5733805,0.62810886,0.42857143,mask-rcnn,autoencoder-conv,"n_latent_features=4096,reduced_size=192",torch-feta-ranker
413,1581,0.5224178,0.574259,0.4107143,mask-rcnn,autoencoder-conv,"n_latent_features=4096,reduced_size=192",torch-feta-ranker
413,1580,0.23817506,0.2618114,0.3065476,mask-rcnn,autoencoder-conv,"n_latent_features=4096,reduced_size=192",torch-feta-ranker
413,1579,0.4890531,0.5315597,0.4047619,mask-rcnn,autoencoder-conv,"n_latent_features=4096,reduced_size=192",torch-feta-ranker
412,1763,0.76019865,0.80792004,0.5515873,mask-rcnn,resnet,reduced_size=256,torch-fate-ranker
412,1762,0.75225824,0.799952,0.5456349,mask-rcnn,resnet,reduced_size=256,torch-fate-ranker
412,1535,0.7576607,0.8010729,0.5575397,mask-rcnn,resnet,reduced_size=256,torch-fate-ranker
412,1534,0.7834851,0.8279234,0.5674603,mask-rcnn,resnet,reduced_size=256,torch-fate-ranker
412,1507,0.74952745,0.7937996,0.5505952,mask-rcnn,resnet,reduced_size=256,torch-fate-ranker
411,1761,0.75700426,0.80495024,0.54761904,mask-rcnn,alexnet,reduced_size=256,torch-fate-ranker
411,1760,0.7761106,0.82241267,0.55257934,mask-rcnn,alexnet,reduced_size=256,torch-fate-ranker
411,1533,0.7266664,0.7734235,0.5436508,mask-rcnn,alexnet,reduced_size=256,torch-fate-ranker
411,1532,0.77922654,0.8235187,0.57539684,mask-rcnn,alexnet,reduced_size=256,torch-fate-ranker
411,1506,0.74009776,0.7868463,0.5486111,mask-rcnn,alexnet,reduced_size=256,torch-fate-ranker
410,1759,0.33215052,0.36312166,0.33333334,mask-rcnn,raw,reduced_size=64,torch-fate-ranker
410,1758,0.41602832,0.45713234,0.36805555,mask-rcnn,raw,reduced_size=64,torch-fate-ranker
410,1552,0.22187412,0.24529941,0.29563493,mask-rcnn,raw,reduced_size=64,torch-fate-ranker
410,1551,0.32595277,0.36293483,0.33234128,mask-rcnn,raw,reduced_size=64,torch-fate-ranker
410,1505,0.2943554,0.32092384,0.31448412,mask-rcnn,raw,reduced_size=64,torch-fate-ranker
409,1756,0.5066541,0.55826014,0.39980158,mask-rcnn,autoencoder-conv,"n_latent_features=4096,reduced_size=192",torch-fate-ranker
409,1578,0.45371816,0.5007759,0.3888889,mask-rcnn,autoencoder-conv,"n_latent_features=4096,reduced_size=192",torch-fate-ranker
409,1577,0.4918485,0.5410609,0.3938492,mask-rcnn,autoencoder-conv,"n_latent_features=4096,reduced_size=192",torch-fate-ranker
409,1576,0.44960088,0.49960744,0.38194445,mask-rcnn,autoencoder-conv,"n_latent_features=4096,reduced_size=192",torch-fate-ranker
408,1755,0.82127035,0.865582,0.59821427,mask-rcnn,resnet,"use_masks=true,reduced_size=256",torch-feta-ranker
408,1754,0.79110533,0.83671224,0.5714286,mask-rcnn,resnet,"use_masks=true,reduced_size=256",torch-feta-ranker
408,1526,0.7819111,0.82628137,0.5674603,mask-rcnn,resnet,"use_masks=true,reduced_size=256",torch-feta-ranker
408,1525,0.7941265,0.83797103,0.58035713,mask-rcnn,resnet,"use_masks=true,reduced_size=256",torch-feta-ranker
408,1524,0.75292915,0.80230284,0.5406746,mask-rcnn,resnet,"use_masks=true,reduced_size=256",torch-feta-ranker
407,1753,0.7462956,0.7929507,0.5456349,mask-rcnn,alexnet,"use_masks=true,reduced_size=256",torch-feta-ranker
407,1752,0.7434047,0.7869585,0.56150794,mask-rcnn,alexnet,"use_masks=true,reduced_size=256",torch-feta-ranker
407,1523,0.75615376,0.806091,0.53869045,mask-rcnn,alexnet,"use_masks=true,reduced_size=256",torch-feta-ranker
407,1522,0.7440842,0.79139704,0.5347222,mask-rcnn,alexnet,"use_masks=true,reduced_size=256",torch-feta-ranker
407,1502,0.7791171,0.8251257,0.56845236,mask-rcnn,alexnet,"use_masks=true,reduced_size=256",torch-feta-ranker
406,1751,0.33143377,0.36961246,0.3313492,mask-rcnn,raw,"use_masks=true,reduced_size=64",torch-feta-ranker
406,1750,0.33476287,0.37526092,0.32936507,mask-rcnn,raw,"use_masks=true,reduced_size=64",torch-feta-ranker
406,1521,0.38927078,0.43005309,0.35515872,mask-rcnn,raw,"use_masks=true,reduced_size=64",torch-feta-ranker
406,1520,0.42059922,0.46421313,0.37103173,mask-rcnn,raw,"use_masks=true,reduced_size=64",torch-feta-ranker
406,1501,0.36387268,0.4066747,0.3392857,mask-rcnn,raw,"use_masks=true,reduced_size=64",torch-feta-ranker
405,1773,0.3102951,0.3408911,0.33333334,mask-rcnn,autoencoder-conv,"use_masks=true,n_latent_features=4096,reduced_size=192",torch-feta-ranker
405,1749,0.43434274,0.47701716,0.38492063,mask-rcnn,autoencoder-conv,"use_masks=true,n_latent_features=4096,reduced_size=192",torch-feta-ranker
405,1575,0.29954156,0.33494437,0.30853173,mask-rcnn,autoencoder-conv,"use_masks=true,n_latent_features=4096,reduced_size=192",torch-feta-ranker
405,1574,0.49939102,0.5450779,0.41666666,mask-rcnn,autoencoder-conv,"use_masks=true,n_latent_features=4096,reduced_size=192",torch-feta-ranker
405,1573,0.46952042,0.51268137,0.39880952,mask-rcnn,autoencoder-conv,"use_masks=true,n_latent_features=4096,reduced_size=192",torch-feta-ranker
404,1747,0.7872629,0.8378442,0.5486111,mask-rcnn,resnet,"use_masks=true,reduced_size=256",torch-fate-ranker
404,1746,0.7661394,0.8130598,0.5406746,mask-rcnn,resnet,"use_masks=true,reduced_size=256",torch-fate-ranker
404,1519,0.77936006,0.8241173,0.5575397,mask-rcnn,resnet,"use_masks=true,reduced_size=256",torch-fate-ranker
404,1518,0.78907067,0.83386564,0.5625,mask-rcnn,resnet,"use_masks=true,reduced_size=256",torch-fate-ranker
404,1517,0.7274397,0.7785318,0.53373015,mask-rcnn,resnet,"use_masks=true,reduced_size=256",torch-fate-ranker
403,1745,0.77431947,0.82047856,0.5605159,mask-rcnn,alexnet,"use_masks=true,reduced_size=256",torch-fate-ranker
